,Missing Values,Non-Missing Values,Missing %
SEQN,0,4167,0.0
DPQ010,0,4167,0.0
DPQ020,0,4167,0.0
DPQ030,0,4167,0.0
DPQ040,0,4167,0.0
DPQ050,0,4167,0.0
DPQ060,0,4167,0.0
DPQ070,0,4167,0.0
DPQ080,0,4167,0.0
DPQ090,0,4167,0.0
DPQ100,0,4167,0.0
ACD010A,767,3400,18.41
ACD010B,4158,9,99.78
ACD010C,4000,167,95.99
ACD040,3496,671,83.9
ALQ111,20,4147,0.48
ALQ121,425,3742,10.2
ALQ130,1047,3120,25.13
ALQ142,1035,3132,24.84
ALQ270,2319,1848,55.65
ALQ280,2323,1844,55.75
ALQ151,441,3726,10.58
ALQ170,2325,1842,55.8
BPQ020,0,4167,0.0
BPQ030,2646,1521,63.5
BPQ150,2646,1521,63.5
BPQ080,0,4167,0.0
BPQ101D,0,4167,0.0
DBQ010,4167,0,100.0
DBD030,4167,0,100.0
DBD041,4167,0,100.0
DBD050,4167,0,100.0
DBD055,4167,0,100.0
DBD061,4167,0,100.0
DBQ073A,4167,0,100.0
DBQ073B,4167,0,100.0
DBQ073C,4167,0,100.0
DBQ073D,4167,0,100.0
DBQ073E,4167,0,100.0
DBQ073U,4167,0,100.0
DBQ301,2443,1724,58.63
DBQ330,2443,1724,58.63
DBQ360,3959,208,95.01
DBQ370,4110,57,98.63
DBD381,4112,55,98.68
DBQ390,4131,36,99.14
DBQ400,4110,57,98.63
DBD411,4118,49,98.82
DBQ421,4143,24,99.42
DBQ424,4136,31,99.26
DBQ930,0,4167,0.0
DBQ935,0,4167,0.0
DBQ940,0,4167,0.0
DBQ945,0,4167,0.0
DIQ010,0,4167,0.0
DID040,3581,586,85.94
DIQ160,730,3437,17.52
DIQ180,587,3580,14.09
DIQ050,3581,586,85.94
DID060,3968,199,95.22
DIQ060U,3972,195,95.32
DIQ070,2922,1245,70.12
FNQ021,4167,0,100.0
FNQ041,4167,0,100.0
FNQ050,4167,0,100.0
FNQ060,4167,0,100.0
FNQ080,4167,0,100.0
FNQ160,4167,0,100.0
FNQ100,4167,0,100.0
FNQ110,4167,0,100.0
FNQ120,4167,0,100.0
FNQ170,4167,0,100.0
FNQ180,4167,0,100.0
FNQ190,4167,0,100.0
FNQ130,4167,0,100.0
FNQ200,4167,0,100.0
FNQ140,4167,0,100.0
FNQ150,4167,0,100.0
FNDCDI,4167,0,100.0
FNQ410,3,4164,0.07
FNQ430,2,4165,0.05
FNQ440,2,4165,0.05
FNQ450,2,4165,0.05
FNQ460,2,4165,0.05
FNQ470,2,4165,0.05
FNQ480,2,4165,0.05
FNQ490,2,4165,0.05
FNQ510,2,4165,0.05
FNQ520,474,3693,11.38
FNQ530,2,4165,0.05
FNQ540,1130,3037,27.12
FNDADI,2,4165,0.05
FNDAEDI,2,4165,0.05
FSD032A,264,3903,6.34
FSD032B,264,3903,6.34
FSD032C,264,3903,6.34
FSD041,2886,1281,69.26
FSD052,3596,571,86.3
FSD061,2886,1281,69.26
FSD071,2886,1281,69.26
FSD081,2886,1281,69.26
FSD092,3479,688,83.49
FSD102,4012,155,96.28
FSDAD,270,3897,6.48
FSD151,262,3905,6.29
FSQ165,271,3896,6.5
FSD165N,2577,1590,61.84
FSQ012,2577,1590,61.84
FSD012N,3288,879,78.91
FSD230,3288,879,78.91
FSD230N,3453,714,82.87
FSD795,3288,879,78.91
FSD225,3289,878,78.93
FSD235,3288,879,78.91
FSD162,264,3903,6.34
FSQ760,3991,176,95.78
FSD760N,4034,133,96.81
FSQ653,4167,0,100.0
FSD660ZC,4167,0,100.0
FSD675,4167,0,100.0
FSD680,4167,0,100.0
FSD670ZC,4167,0,100.0
FSQ690,4167,0,100.0
FSQ695,4167,0,100.0
HIQ011,0,4167,0.0
HIQ032A,1911,2256,45.86
HIQ032B,2789,1378,66.93
HIQ032C,4065,102,97.55
HIQ032D,3529,638,84.69
HIQ032E,4165,2,99.95
HIQ032F,3983,184,95.58
HIQ032H,3837,330,92.08
HIQ032I,3995,172,95.87
HIQ210,309,3858,7.42
HOD051,267,3900,6.41
HSQ590,7,4160,0.17
HUQ010,0,4167,0.0
HUQ030,0,4167,0.0
HUQ042,485,3682,11.64
HUQ055,0,4167,0.0
HUQ090,0,4167,0.0
INDFMMPI,790,3377,18.96
INDFMMPC,305,3862,7.32
INQ300,303,3864,7.27
IND310,2249,1918,53.97
KIQ022,209,3958,5.02
KIQ025,4009,158,96.21
KIQ005,250,3917,6.0
KIQ010,2239,1928,53.73
KIQ042,254,3913,6.1
KIQ044,258,3909,6.19
KIQ052,2083,2084,49.99
KIQ481,264,3903,6.34
MCQ010,0,4167,0.0
MCQ035,3320,847,79.67
MCQ040,3650,517,87.59
MCQ050,3650,517,87.59
AGQ030,0,4167,0.0
MCQ053,0,4167,0.0
MCQ149,4167,0,100.0
MCQ160A,209,3958,5.02
MCQ195,2728,1439,65.47
MCQ160B,209,3958,5.02
MCQ160C,209,3958,5.02
MCQ160D,209,3958,5.02
MCQ160E,209,3958,5.02
MCQ160F,209,3958,5.02
MCQ160M,209,3958,5.02
MCQ170M,3583,584,85.99
MCQ160P,209,3958,5.02
MCQ160L,209,3958,5.02
MCQ170L,3896,271,93.5
MCQ500,3958,209,94.98
MCQ510A,4002,165,96.04
MCQ510B,4163,4,99.9
MCQ510C,4135,32,99.23
MCQ510D,4129,38,99.09
MCQ510E,4157,10,99.76
MCQ510F,4123,44,98.94
MCQ550,209,3958,5.02
MCQ560,209,3958,5.02
MCQ220,209,3958,5.02
MCQ230A,3562,605,85.48
MCQ230B,4086,81,98.06
MCQ230C,4155,12,99.71
MCQ230D,4165,2,99.95
OSQ230,1331,2836,31.94
OCD150,0,4167,0.0
OCQ180,2038,2129,48.91
OCQ210,3419,748,82.05
OCQ215,1891,2276,45.38
OCQ383,2469,1698,59.25
OHQ845,0,4167,0.0
OHQ620,0,4167,0.0
OHQ630,209,3958,5.02
OHQ640,209,3958,5.02
OHQ660,209,3958,5.02
OHQ670,209,3958,5.02
OHQ680,209,3958,5.02
PAQ706,4167,0,100.0
PAQ711,4167,0,100.0
PAD790Q,6,4161,0.14
PAD790U,0,4167,0.0
PAD800,858,3309,20.59
PAD810Q,3,4164,0.07
PAD810U,0,4167,0.0
PAD820,2248,1919,53.95
PAD680,3,4164,0.07
RHQ010,1750,2417,42.0
RHQ031,1755,2412,42.12
RHD043,2728,1439,65.47
RHQ060,2739,1428,65.73
RHQ078,2771,1396,66.5
RHQ131,2883,1284,69.19
RHD143,3694,473,88.65
RHD167,3253,914,78.07
RHQ200,3731,436,89.54
RHD280,1873,2294,44.95
RHQ305,1876,2291,45.02
RHQ332,3865,302,92.75
RXQ510,1331,2836,31.94
RXQ515,3090,1077,74.15
RXQ520,2408,1759,57.79
RXQ033,0,4167,0.0
RXQ050,1218,2949,29.23
SLQ300,0,4167,0.0
SLQ310,0,4167,0.0
SLD012,49,4118,1.18
SLQ320,0,4167,0.0
SLQ330,0,4167,0.0
SLD013,53,4114,1.27
SMD460,260,3907,6.24
SMD470,3215,952,77.15
SMQ681,7,4160,0.17
SMQ690A,3530,637,84.71
SMQ710,3534,633,84.81
SMQ720,3534,633,84.81
SMQ725,3537,630,84.88
SMQ690B,4145,22,99.47
SMQ740,4145,22,99.47
SMQ690C,4074,93,97.77
SMQ770,4074,93,97.77
SMQ690G,4133,34,99.18
SMQ845,4133,34,99.18
SMQ846,7,4160,0.17
SMQ849,3842,325,92.2
SMQ851,11,4156,0.26
SMQ690D,4135,32,99.23
SMQ690E,4160,7,99.83
SMQ690K,4133,34,99.18
SMQ863,16,4151,0.38
SMQ690F,4096,71,98.3
SMDANY,18,4149,0.43
SMQ020,2,4165,0.05
SMQ040,2488,1679,59.71
SMD641,4046,121,97.1
SMD650,3545,622,85.07
SMD100MN,3545,622,85.07
SMQ621,4167,0,100.0
SMD630,4167,0,100.0
SMAQUEX2,0,4167,0.0
WHD010,0,4167,0.0
WHD020,0,4167,0.0
WHD050,0,4167,0.0
WHQ070,0,4167,0.0
