column,value,count,percent
DPQ010,0,2363,56.71
DPQ010,3,253,6.07
DPQ010,1,1202,28.85
DPQ010,2,334,8.02
DPQ010,7,3,0.07
DPQ010,9,12,0.29
DPQ020,0,2330,55.92
DPQ020,3,212,5.09
DPQ020,1,1323,31.75
DPQ020,2,294,7.06
DPQ020,9,6,0.14
DPQ020,7,2,0.05
DPQ030,1,1686,40.46
DPQ030,0,1433,34.39
DPQ030,3,534,12.81
DPQ030,2,510,12.24
DPQ030,9,2,0.05
DPQ030,7,2,0.05
DPQ040,0,1009,24.21
DPQ040,1,2110,50.64
DPQ040,3,472,11.33
DPQ040,2,570,13.68
DPQ040,9,3,0.07
DPQ040,7,3,0.07
DPQ050,0,2368,56.83
DPQ050,3,289,6.94
DPQ050,1,1136,27.26
DPQ050,2,371,8.9
DPQ050,9,3,0.07
DPQ060,0,2630,63.11
DPQ060,1,1052,25.25
DPQ060,3,212,5.09
DPQ060,2,268,6.43
DPQ060,9,2,0.05
DPQ060,7,3,0.07
DPQ070,0,2696,64.7
DPQ070,3,203,4.87
DPQ070,2,277,6.65
DPQ070,1,988,23.71
DPQ070,7,2,0.05
DPQ070,9,1,0.02
DPQ080,0,3411,81.86
DPQ080,2,129,3.1
DPQ080,1,510,12.24
DPQ080,3,108,2.59
DPQ080,9,6,0.14
DPQ080,7,3,0.07
DPQ090,0,3868,92.82
DPQ090,1,209,5.02
DPQ090,2,57,1.37
DPQ090,3,28,0.67
DPQ090,9,5,0.12
DPQ100,0,2573,61.75
DPQ100,2,207,4.97
DPQ100,1,1306,31.34
DPQ100,3,74,1.78
DPQ100,7,4,0.1
DPQ100,9,3,0.07
ACD010A,1.0,3400,81.59
ACD010A,,767,18.41
ACD010B,,4158,99.78
ACD010B,8.0,9,0.22
ACD010C,,4000,95.99
ACD010C,9.0,167,4.01
ACD040,,3496,83.9
ACD040,2.0,110,2.64
ACD040,4.0,134,3.22
ACD040,5.0,144,3.46
ACD040,1.0,184,4.42
ACD040,3.0,97,2.33
ACD040,7.0,1,0.02
ACD040,9.0,1,0.02
ALQ111,1.0,3739,89.73
ALQ111,2.0,404,9.7
ALQ111,,20,0.48
ALQ111,9.0,4,0.1
ALQ121,2.0,227,5.45
ALQ121,10.0,420,10.08
ALQ121,4.0,360,8.64
ALQ121,,425,10.2
ALQ121,8.0,204,4.9
ALQ121,3.0,327,7.85
ALQ121,0.0,608,14.59
ALQ121,9.0,408,9.79
ALQ121,6.0,460,11.04
ALQ121,5.0,316,7.58
ALQ121,1.0,128,3.07
ALQ121,7.0,280,6.72
ALQ121,99.0,2,0.05
ALQ121,77.0,2,0.05
ALQ130,3.0,471,11.3
ALQ130,1.0,1008,24.19
ALQ130,2.0,994,23.85
ALQ130,,1047,25.13
ALQ130,5.0,166,3.98
ALQ130,12.0,42,1.01
ALQ130,10.0,28,0.67
ALQ130,6.0,106,2.54
ALQ130,9.0,15,0.36
ALQ130,4.0,208,4.99
ALQ130,15.0,18,0.43
ALQ130,999.0,7,0.17
ALQ130,8.0,32,0.77
ALQ130,777.0,4,0.1
ALQ130,7.0,14,0.34
ALQ130,14.0,2,0.05
ALQ130,11.0,4,0.1
ALQ130,13.0,1,0.02
ALQ142,0.0,1278,30.67
ALQ142,10.0,581,13.94
ALQ142,,1035,24.84
ALQ142,6.0,195,4.68
ALQ142,5.0,155,3.72
ALQ142,1.0,33,0.79
ALQ142,9.0,304,7.3
ALQ142,2.0,53,1.27
ALQ142,7.0,230,5.52
ALQ142,8.0,111,2.66
ALQ142,3.0,89,2.14
ALQ142,99.0,10,0.24
ALQ142,77.0,6,0.14
ALQ142,4.0,87,2.09
ALQ270,,2319,55.65
ALQ270,0.0,772,18.53
ALQ270,10.0,408,9.79
ALQ270,6.0,105,2.52
ALQ270,9.0,138,3.31
ALQ270,1.0,8,0.19
ALQ270,4.0,53,1.27
ALQ270,8.0,62,1.49
ALQ270,7.0,142,3.41
ALQ270,99.0,7,0.17
ALQ270,5.0,76,1.82
ALQ270,2.0,29,0.7
ALQ270,3.0,45,1.08
ALQ270,77.0,3,0.07
ALQ280,,2323,55.75
ALQ280,10.0,284,6.82
ALQ280,0.0,1083,25.99
ALQ280,7.0,96,2.3
ALQ280,1.0,10,0.24
ALQ280,6.0,68,1.63
ALQ280,8.0,69,1.66
ALQ280,99.0,5,0.12
ALQ280,5.0,55,1.32
ALQ280,3.0,28,0.67
ALQ280,9.0,91,2.18
ALQ280,4.0,34,0.82
ALQ280,2.0,20,0.48
ALQ280,77.0,1,0.02
ALQ151,2.0,2976,71.42
ALQ151,,441,10.58
ALQ151,1.0,747,17.93
ALQ151,9.0,2,0.05
ALQ151,7.0,1,0.02
ALQ170,,2325,55.8
ALQ170,0.0,876,21.02
ALQ170,3.0,116,2.78
ALQ170,1.0,373,8.95
ALQ170,8.0,22,0.53
ALQ170,30.0,34,0.82
ALQ170,2.0,204,4.9
ALQ170,4.0,72,1.73
ALQ170,5.0,51,1.22
ALQ170,20.0,28,0.67
ALQ170,6.0,24,0.58
ALQ170,9.0,6,0.14
ALQ170,7.0,8,0.19
ALQ170,15.0,9,0.22
ALQ170,13.0,1,0.02
ALQ170,18.0,2,0.05
ALQ170,10.0,9,0.22
ALQ170,12.0,2,0.05
ALQ170,17.0,1,0.02
ALQ170,777.0,3,0.07
ALQ170,999.0,1,0.02
BPQ020,1,1521,36.5
BPQ020,2,2644,63.45
BPQ020,9,2,0.05
BPQ030,1.0,1298,31.15
BPQ030,,2646,63.5
BPQ030,2.0,208,4.99
BPQ030,9.0,14,0.34
BPQ030,7.0,1,0.02
BPQ150,1.0,1246,29.9
BPQ150,,2646,63.5
BPQ150,2.0,272,6.53
